source_case_id	source_title	source_family	source_result	disposition	adr065_result	semantic_reason	replacement_case_ids	coverage_case_ids	approving_reviewer
EX-16	Kleene short-circuit removes spurious indeterminacy	E Indeterminacy	Deny	kept	DENY	Unchanged. A condition with a known-false conjunct is determinately false even when another term is unavailable, so the permission is a clean non-match and no unknown is recorded. Asserted against EX-15, which is the identical outage with a different amount.	-	EX-16	architecture
EX-17	Policy information point down in a ceiling	E Indeterminacy	Indeterminate	changed	ERROR	The rule is unchanged: an unknown constraint cannot be skipped, because a constraint bounds every permission and treating it as inapplicable raises the roof. What changes is where the result lands. The source routed indeterminacy through a per-tool on_error posture that could be Permit; ADR-065 maps it to the ERROR state, which never executes.	-	EX-17	architecture+security
EX-18	Indeterminacy resolves when it cannot matter	E Indeterminacy	Deny	changed	ERROR	ADR-065 does not reproduce the source lo/hi collapse. The combining rule tests constraint uncertainty BEFORE permission coverage, so an unknown constraint is indeterminate whether or not an unrelated permission happened to be absent. The cost is availability during a dependency outage; the gain is that each policy contribution stays locally checkable rather than depending on the state of every other policy.	-	EX-18	architecture+security
EX-19	Union across ceilings	F Obligations	Permit	kept	ALLOW	Unchanged. Obligations from several requirement policies union, and per-leaf resolution places each transform on the leaf its target covers.	-	EX-19	architecture
EX-20	Equal-rank obligation conflict	F Obligations	Indeterminate	changed	DENY	The outcome for the enforcement point is the same in the source world, because the tool it used had on_error Deny. The authorization value differs and that difference is deliberate: a conflicting mandatory obligation is a defect in the policy set, not a dependency that failed, so it denies rather than becoming indeterminate. Silently picking one transform is refused in both models.	AXC-007	EX-20,AXC-007	architecture+security
EX-21	Per-leaf rank-max in both directions	F Obligations	Permit	changed	ALLOW	The per-leaf resolution is unchanged and is still correct in both directions. The ORDER is inverted and re-founded: ADR-065 ranks by information disclosed and selects the least disclosing comparable transform, where the source ranked by destructiveness and selected the maximum. The two agree everywhere except tokenization, which leaves the chain entirely because a value recoverable from a vault does not reveal less than a one-way digest.	AXC-007	EX-21,AXC-007	architecture+security
EX-22	An unsupported obligation denies	F Obligations	Deny	kept	DENY	Unchanged, and extended: a PEP that advertised no profile at all is also refused rather than being treated as needing nothing.	-	EX-22,AXC-006	architecture
EX-23	Reserve then commit	G Reservation	Permit	changed	ALLOW	The lifecycle is unchanged. The expression changes: a budget is a typed quota_reservation obligation attached by a requirement policy and discharged by a coordinator outside the pure evaluator, rather than a field on a ceiling evaluated inside condition evaluation. The idempotency key is the decision binding rather than an argument hash, which the source prohibited but did not have a binding wide enough to supply.	AXC-020	EX-23,AXC-020	architecture+security
EX-24	A failed execution releases its hold	G Reservation	Permit	kept	ALLOW	Unchanged. The decision was correct and stays correct; only the reservation unwinds, and a released hold cannot then be committed.	-	EX-24	architecture
EX-25	Concurrent escalations hold the budget	G Reservation	Escalate;Deny	changed	CHALLENGE;DENY	The property is unchanged and is the reason reservation happens at decision time rather than at approval time. The verdict form changes for the same reason as EX-03, and the late conversion from permit to deny is reported in the trace as a reservation failure rather than as a policy denial that never happened.	-	EX-25	architecture+security
EX-26	Approval timeout releases and applies on_timeout	G Reservation	Deny	changed	DENY	The operational outcome is the same and the RULE that reaches it is not, which is what this disposition records. ADR-065 prohibits on_timeout=permit outright, so the source's configurable timeout posture is gone: a non-response never proves approval, and permitting after a timeout would additionally admit execution against a hold that has already been released. The case runs the timeout, asserts the denial and its reason, and asserts the counter is back to zero.	-	EX-26	architecture+security
EX-27	An agent more privileged than its principal	H Delegation	Deny	kept	DENY	Unchanged and structural. Each hop of the actor chain carries its own identity attributes and is evaluated in its own realm, and the chain meets. Union across the chain is the confused deputy.	-	EX-27,AXC-021,AXC-230,AXC-231,AXC-237	architecture
EX-28	Delegation depth exceeded	H Delegation	Deny	kept	DENY	Unchanged. Depth is a topology constraint checked at admission, before any policy is loaded, which the case asserts by requiring an empty determining set.	-	EX-28	architecture
EX-29	Signals accumulate past a threshold	I Inspection	Escalate	changed	CHALLENGE	Weighted accumulation is retained. Its placement changes: the accumulated score arrives as the tri-state attribute signal.risk_score produced by the inspection plane, and the policies that ACT on it are ordinary constraint and requirement policies. That is how ADR-065 expresses assurance classes, and it is what makes a detection plane that cannot answer fail closed instead of quietly scoring zero.	AXC-004,AXC-005	EX-29,AXC-004,AXC-005	architecture+security
EX-30	Detection cannot raise a decision	I Inspection	Deny	kept	DENY	Unchanged and made structural: the authoring validator refuses an inspection policy that declares itself mandatory, so a heuristic cannot become a required control without being registered as one.	-	EX-30	architecture
EX-31	An unevaluable detector does not fail the request	I Inspection	Permit	kept	ALLOW	Unchanged, including the second half that is easy to lose: a detector that DID match contributes its obligations on evidence rather than on outcome, so the elevated audit record is written even though the score changed nothing. The deliberate asymmetry with a gating control is asserted separately.	-	EX-31,AXC-004	architecture
EX-32	Approval rebinding after an argument change	J Binding	Deny	kept	DENY	Unchanged in effect and wider in scope. ADR-065 rejects the source binding as too narrow and binds the complete normalized input, so the amount change is caught by the same digest that catches an identity, epoch, registry or attribute change.	-	EX-32	architecture
EX-33	Break-glass pierces a pierceable ceiling	J Binding	Permit	kept	ALLOW	Unchanged, with one widening that the ADR-065 policy model forces: an approval ceiling is a requirement rather than a constraint, so piercing has to apply to requirements as well or an emergency override could not bypass the approval it exists to bypass. The mandatory audit and notification obligations are unconditional.	-	EX-33	architecture
EX-34	Break-glass cannot pierce a regulatory ceiling	J Binding	Deny	kept	DENY	Unchanged. An empty pierceable list is the difference between a control and a suggestion.	-	EX-34	architecture
EX-35	Authority from untrusted input, rejected at save time	J Binding	Rejected	kept	REJECTED	Unchanged. The rule fires on identity comparisons between a caller-supplied term and a trusted one, and the bounding form of the same comparison stays legal, because bounding untrusted input is the entire point of an argument limit.	-	EX-35	architecture
EX-36	Unknown tool	J Binding	Deny	kept	DENY	Unchanged. An unregistered surface is refused at admission with a reason distinguishable from a registered action that has no matching permission, because the two need different fixes.	-	EX-36,AXC-300,AXC-301,AXC-302	architecture
EX-37	A schema violation catches the unit bug	J Binding	Deny	kept	DENY	Unchanged. The typed argument schema refuses both the unknown field and the missing required one, and the case asserts the explanation names both.	-	EX-37,AXC-303,AXC-304	architecture
EX-38	Named-level projection, no traversal	K Containment	Permit	kept	ALLOW	Unchanged. The mapping names the leaf and the resolver supplies the ancestors, which the case asserts by checking the provenance class of the materialized level.	-	EX-38	architecture
EX-39	Ceiling scoped by a projected ancestor attribute	K Containment	Escalate	changed	CHALLENGE	The mechanism is unchanged and is the point of the case: the entire difference from EX-38 is an attribute of a resource the principal never named. The verdict form changes for the same reason as EX-03.	-	EX-39	architecture+security
EX-40	A recursive subtree ceiling outranks a segment exception	K Containment	Deny	kept	DENY	Unchanged. An exception clause only ever relaxes the policy it lives on, so principal-side and resource-side scoping compose without either overriding the other.	-	EX-40	architecture
EX-41	A sibling subtree is unaffected	K Containment	Escalate	changed	CHALLENGE	The mechanism is unchanged and the case is paired with EX-40 as a regression test for scope leakage in either direction. The verdict form changes for the same reason as EX-03. The obligation set differs from EX-40's sibling because disclosure transforms expand over the ACTION's declared response leaves, and the two actions declare different ones.	-	EX-41	architecture+security
EX-42	Multi-parent resource, reachability by any path	K Containment	Deny	kept	DENY	Unchanged. A resource reachable from a restricted container is restricted even though it is also filed somewhere benign; intersecting the scopes along each path would let anything escape any constraint by also being linked into an open one.	-	EX-42	architecture
EX-43	A truncated resource closure fails closed	K Containment	Deny	changed	ERROR	The rule is unchanged and the landing place moves for the same reason as EX-17. A partial closure may be missing the very ancestor a constraint is scoped to, so it is never evaluated against.	-	EX-43,AXC-305,AXC-306,AXC-307	architecture+security
EX-44	Parentage changes between decision and execution	K Containment	Deny	changed	DENY	The operational outcome is the same and the RULE that reaches it is not, which is what this disposition records. The source needed a SECOND context hash because its request hash covered only what the caller supplied and the ancestors were materialized afterwards. ADR-065 binds the complete normalized input including every resolver-materialized attribute, so one binding covers both and there is no second digest for a caller to forget to carry. The case rebinds a decision made before the move against the request presented after it and asserts the refusal.	AXC-019	EX-44,AXC-019	architecture+security
EX-45	An empty closure is authoritative, not an error	L Realms	Permit	changed	CHALLENGE	The source case is internally inconsistent and this row records its DECLARED result rather than its worked trace: the case badge says Permit while its own trace concludes Escalate, because the fixture's organization-scoped spend requirement applies to the amount used. ADR-065 reaches CHALLENGE under either reading, so the change is recorded against the declared result, which is the larger of the two. The distinction the case exists for is unchanged and is asserted directly: the closure is KNOWN and empty rather than unknown, organization-scoped policies still bind, and the principal-scoped permission is what carries a subject whose realm has no group concept.	-	EX-45,AXC-201,AXC-243,AXC-244,AXC-249,AXC-264	architecture+security
EX-46	An approver pool in a non-interactive realm	L Realms	Rejected	kept	REJECTED	Unchanged, and relocated to the ADR-065 policy lifecycle validation step, which validates authority, obligations and capabilities before a bundle can be compiled. Enforcing it on the realm keeps the evaluator out of the business of deciding which subjects are people.	-	EX-46,AXC-260,AXC-261,AXC-263,AXC-270,AXC-271,AXC-309,AXC-328,AXC-329	architecture
EX-47	A validly signed token from an undeclared realm	L Realms	Deny	kept	DENY	Unchanged. Unknown surface and unknown issuer are both refused before any policy loads. Omitting this check lets a principal reach evaluation with an undefined realm, where a falsy default reads as an absent group graph, makes an empty closure look authoritative, and silently skips every group-scoped constraint: a fail-open produced entirely by omission.	-	EX-47,AXC-200,AXC-201,AXC-203,AXC-205,AXC-264,AXC-274,AXC-277,AXC-279,AXC-286	architecture
